tempo,danceability,energy,instrumentalness,liveness,valence
156.985,0.831,0.814,0.0134,0.0556,0.389
115.08,0.719,0.493,0,0.118,0.124
218.05,0.85,0.893,4.14E-06,0.372,0.0391
186.948,0.476,0.781,0,0.114,0.175
147.988,0.798,0.624,0,0.166,0.591
144.915,0.721,0.568,0.212,0.128,0.109
130.826,0.718,0.668,0.0078,0.124,0.038
138.049,0.694,0.711,0,0.112,0.283
219.96,0.774,0.751,0,0.0728,0.189
199.942,0.893,0.907,0.0311,0.558,0.302
189.938,0.864,0.365,0,0.116,0.0478
124.514,0.736,0.932,0.0025,0.182,0.18
149.97,0.825,0.761,0.00359,0.334,0.161
139.99,0.767,0.576,2.61E-06,0.0968,0.187
128.014,0.765,0.726,0,0.619,0.27
159.996,0.617,0.541,0,0.369,0.43
199.958,0.755,0.298,0.329,0.101,0.0372
120.004,0.814,0.575,0.000291,0.109,0.288
128.066,0.812,0.813,0.00015,0.0758,0.348
212.15,0.849,0.648,0.00592,0.0984,0.196
114.956,0.602,0.578,0,0.164,0.156
111.958,0.876,0.768,1.21E-05,0.283,0.72
139.973,0.777,0.711,0,0.205,0.293
112.97,0.829,0.59,0.0107,0.114,0.332
118.03,0.783,0.929,0.00414,0.689,0.152
141.52,0.787,0.727,0.0017,0.376,0.21
130.037,0.705,0.648,0.000595,0.373,0.398
125.013,0.69,0.76,0,0.134,0.0797
139.967,0.799,0.966,0,0.658,0.864
121.979,0.936,0.476,0,0.402,0.363
114.771,0.838,0.634,0,0.111,0.224
130.028,0.964,0.51,6.47E-06,0.0549,0.474
120.006,0.83,0.387,0.407,0.0926,0.561
119.999,0.455,0.525,0.734,0.125,0.279
117.962,0.748,0.573,2.59E-06,0.0929,0.193
114.997,0.745,0.688,0.00906,0.077,0.522
199.974,0.722,0.519,0.0114,0.189,0.128
150.029,0.657,0.473,0.026,0.108,0.153
129.999,0.936,0.474,0,0.111,0.168
219.808,0.765,0.62,0.00019,0.16,0.218
209.998,0.65,0.952,0.351,0.337,0.256
190.15,0.386,0.936,0.00192,0.381,0.193
180.218,0.563,0.68,3.28E-05,0.122,0.0396
129.985,0.777,0.902,0,0.275,0.462
121.829,0.607,0.749,7.66E-05,0.234,0.18
